X,HGL
13.39,0.532602
13.4,0.532643
13.41,0.532685
13.42,0.532727
13.43,0.532768
13.44,0.53281
13.45,0.532851
13.46,0.532893
13.47,0.532935
13.48,0.532976
13.49,0.533018
13.5,0.533059
13.51,0.533101
13.52,0.533142
13.53,0.533184
13.54,0.533225
13.55,0.533267
13.56,0.533308
13.57,0.533349
13.58,0.533391
13.59,0.533432
13.6,0.533474
13.61,0.533515
13.62,0.533556
13.63,0.533598
13.64,0.533639
13.65,0.53368
13.66,0.533721
13.67,0.533763
13.68,0.533804
13.69,0.533845
13.7,0.533886
13.71,0.533928
13.72,0.533969
13.73,0.53401
13.74,0.534051
13.75,0.534092
13.76,0.534133
13.77,0.534174
13.78,0.534215
13.79,0.534257
13.8,0.534298
13.81,0.534339
13.82,0.53438
13.83,0.534421
13.84,0.534462
13.85,0.534503
13.86,0.534544
13.87,0.534585
13.88,0.534625
13.89,0.534666
13.9,0.534707
13.91,0.534748
13.92,0.534789
13.93,0.53483
13.94,0.534871
13.95,0.534912
13.96,0.534952
13.97,0.534993
13.98,0.535034
13.99,0.535075
14,0.535116
14.01,0.535156
14.02,0.535197
14.03,0.535238
14.04,0.535278
14.05,0.535319
14.06,0.53536
14.07,0.5354
14.08,0.535441
14.09,0.535482
14.1,0.535522
14.11,0.535563
14.12,0.535603
14.13,0.535644
14.14,0.535685
14.15,0.535725
14.16,0.535766
14.17,0.535806
14.18,0.535847
14.19,0.535887
14.2,0.535927
14.21,0.535968
14.22,0.536008
14.23,0.536049
14.24,0.536089
14.25,0.53613
14.26,0.53617
14.27,0.53621
14.28,0.536251
14.29,0.536291
14.3,0.536331
14.31,0.536372
14.32,0.536412
14.33,0.536452
14.34,0.536492
14.35,0.536533
14.36,0.536573
14.37,0.536613
14.38,0.536653
14.39,0.536693
14.4,0.536734
14.41,0.536774
14.42,0.536814
14.43,0.536854
14.44,0.536894
14.45,0.536934
14.46,0.536974
14.47,0.537014
14.48,0.537054
14.49,0.537094
14.5,0.537134
14.51,0.537174
14.52,0.537214
14.53,0.537254
14.54,0.537294
14.55,0.537334
14.56,0.537374
14.57,0.537414
14.58,0.537454
14.59,0.537494
14.6,0.537534
14.61,0.537574
14.62,0.537614
14.63,0.537654
14.64,0.537693
14.65,0.537733
14.66,0.537773
14.67,0.537813
14.68,0.537853
14.69,0.537892
14.7,0.537932
14.71,0.537972
14.72,0.538011
14.73,0.538051
14.74,0.538091
14.75,0.538131
14.76,0.53817
14.77,0.53821
14.78,0.538249
14.79,0.538289
14.8,0.538329
14.81,0.538368
14.82,0.538408
14.83,0.538447
14.84,0.538487
14.85,0.538527
14.86,0.538566
14.87,0.538606
14.88,0.538645
14.89,0.538685
14.9,0.538724
14.91,0.538764
14.92,0.538803
14.93,0.538842
14.94,0.538882
14.95,0.538921
14.96,0.538961
14.97,0.539
14.98,0.539039
14.99,0.539079
15,0.539118
15.01,0.539157
15.02,0.539197
15.03,0.539236
15.04,0.539275
15.05,0.539315
15.06,0.539354
15.07,0.539393
15.08,0.539432
15.09,0.539471
15.1,0.539511
15.11,0.53955
15.12,0.539589
15.13,0.539628
15.14,0.539667
15.15,0.539706
15.16,0.539746
15.17,0.539785
15.18,0.539824
15.19,0.539863
15.2,0.539902
15.21,0.539941
15.22,0.53998
15.23,0.540019
15.24,0.540058
15.25,0.540097
15.26,0.540136
15.27,0.540175
15.28,0.540214
15.29,0.540253
15.3,0.540292
15.31,0.540331
15.32,0.54037
15.33,0.540409
15.34,0.540448
15.35,0.540486
15.36,0.540525
15.37,0.540564
15.38,0.540603
15.39,0.540642
15.4,0.540681
15.41,0.540719
15.42,0.540758
15.43,0.540797
15.44,0.540836
15.45,0.540874
15.46,0.540913
15.47,0.540952
15.48,0.540991
15.49,0.541029
15.5,0.541068
15.51,0.541107
15.52,0.541145
15.53,0.541184
15.54,0.541223
